accession,form,issuer,cusip,date,side,shares,price_per_share,source
0000935836-25-000543,SCHEDULE 13D,"Core Scientific, Inc.",21874A106,7/18/2025,Purchase,203578,13.189,0000935836-25-000543/primary_doc.xml
0000935836-25-000543,SCHEDULE 13D,"Core Scientific, Inc.",21874A106,7/21/2025,Purchase,315005,13.4761,0000935836-25-000543/primary_doc.xml
0000935836-25-000543,SCHEDULE 13D,"Core Scientific, Inc.",21874A106,7/22/2025,Purchase,199461,13.2394,0000935836-25-000543/primary_doc.xml
0000935836-25-000543,SCHEDULE 13D,"Core Scientific, Inc.",21874A106,7/31/2025,Purchase,676250,13.5673,0000935836-25-000543/primary_doc.xml
0000935836-25-000543,SCHEDULE 13D,"Core Scientific, Inc.",21874A106,8/5/2025,Purchase,1000000,13.7541,0000935836-25-000543/primary_doc.xml
0000935836-25-000543,SCHEDULE 13D,"Core Scientific, Inc.",21874A106,8/6/2025,Purchase,1000000,13.9858,0000935836-25-000543/primary_doc.xml
0000935836-25-000543,SCHEDULE 13D,"Core Scientific, Inc.",21874A106,8/7/2025,Purchase,1000000,14.3211,0000935836-25-000543/primary_doc.xml
0000935836-25-000543,SCHEDULE 13D,"Core Scientific, Inc.",21874A106,8/8/2025,Purchase,682666,14.32,0000935836-25-000543/primary_doc.xml
0000935836-25-000543,SCHEDULE 13D,"Core Scientific, Inc.",21874A106,8/11/2025,Purchase,679702,14.6581,0000935836-25-000543/primary_doc.xml
0000935836-25-000543,SCHEDULE 13D,"Core Scientific, Inc.",21874A106,8/11/2025,Purchase,813431,14.5991,0000935836-25-000543/primary_doc.xml
0000935836-25-000543,SCHEDULE 13D,"Core Scientific, Inc.",21874A106,8/12/2025,Purchase,3064787,14.9047,0000935836-25-000543/primary_doc.xml
0000935836-25-000543,SCHEDULE 13D,"Core Scientific, Inc.",21874A106,8/13/2025,Purchase,615413,13.8451,0000935836-25-000543/primary_doc.xml
0000935836-25-000638,SCHEDULE 13D/A,"Core Scientific, Inc.",21874A106,8/20/2025,Sale,786072,13.8804,0000935836-25-000638/ex99290days.htm
0000935836-25-000638,SCHEDULE 13D/A,"Core Scientific, Inc.",21874A106,8/20/2025,Sale,852105,13.9109,0000935836-25-000638/ex99290days.htm
0000935836-25-000638,SCHEDULE 13D/A,"Core Scientific, Inc.",21874A106,9/9/2025,Purchase,663073,14.6123,0000935836-25-000638/ex99290days.htm
0000935836-25-000638,SCHEDULE 13D/A,"Core Scientific, Inc.",21874A106,9/10/2025,Purchase,432327,15.3493,0000935836-25-000638/ex99290days.htm
0000935836-25-000638,SCHEDULE 13D/A,"Core Scientific, Inc.",21874A106,9/10/2025,Purchase,1075000,15.735,0000935836-25-000638/ex99290days.htm
0000935836-25-000638,SCHEDULE 13D/A,"Core Scientific, Inc.",21874A106,9/30/2025,Purchase,46138,17.9093,0000935836-25-000638/ex99290days.htm
0000935836-25-000638,SCHEDULE 13D/A,"Core Scientific, Inc.",21874A106,9/30/2025,Purchase,128000,17.9161,0000935836-25-000638/ex99290days.htm
0000935836-25-000638,SCHEDULE 13D/A,"Core Scientific, Inc.",21874A106,9/30/2025,Purchase,1000000,17.929,0000935836-25-000638/ex99290days.htm
0000935836-25-000638,SCHEDULE 13D/A,"Core Scientific, Inc.",21874A106,9/30/2025,Purchase,100000,17.955,0000935836-25-000638/ex99290days.htm
0000935836-25-000638,SCHEDULE 13D/A,"Core Scientific, Inc.",21874A106,9/30/2025,Purchase,58060,17.8498,0000935836-25-000638/ex99290days.htm
0000935836-25-000638,SCHEDULE 13D/A,"Core Scientific, Inc.",21874A106,9/30/2025,Purchase,71782,17.9255,0000935836-25-000638/ex99290days.htm
0000935836-25-000638,SCHEDULE 13D/A,"Core Scientific, Inc.",21874A106,10/9/2025,Purchase,1171114,17.5552,0000935836-25-000638/ex99290days.htm
0000935836-25-000638,SCHEDULE 13D/A,"Core Scientific, Inc.",21874A106,10/9/2025,Purchase,500000,17.37,0000935836-25-000638/ex99290days.htm
0000935836-25-000638,SCHEDULE 13D/A,"Core Scientific, Inc.",21874A106,10/9/2025,Purchase,300000,17.3707,0000935836-25-000638/ex99290days.htm
0000935836-25-000638,SCHEDULE 13D/A,"Core Scientific, Inc.",21874A106,10/9/2025,Purchase,69000,17.525,0000935836-25-000638/ex99290days.htm
0000935836-25-000638,SCHEDULE 13D/A,"Core Scientific, Inc.",21874A106,10/9/2025,Purchase,200000,17.4553,0000935836-25-000638/ex99290days.htm
0000935836-25-000638,SCHEDULE 13D/A,"Core Scientific, Inc.",21874A106,10/9/2025,Purchase,300000,17.6227,0000935836-25-000638/ex99290days.htm
0000935836-25-000638,SCHEDULE 13D/A,"Core Scientific, Inc.",21874A106,10/9/2025,Purchase,715962,18.0169,0000935836-25-000638/ex99290days.htm
0000935836-25-000638,SCHEDULE 13D/A,"Core Scientific, Inc.",21874A106,10/9/2025,Purchase,256952,17.8259,0000935836-25-000638/ex99290days.htm
0000935836-25-000638,SCHEDULE 13D/A,"Core Scientific, Inc.",21874A106,10/10/2025,Purchase,106588,18.9093,0000935836-25-000638/ex99290days.htm
0000935836-25-000638,SCHEDULE 13D/A,"Core Scientific, Inc.",21874A106,10/10/2025,Purchase,317836,19.0273,0000935836-25-000638/ex99290days.htm
0000935836-25-000638,SCHEDULE 13D/A,"Core Scientific, Inc.",21874A106,10/10/2025,Purchase,499295,18.3214,0000935836-25-000638/ex99290days.htm
0000935836-25-000638,SCHEDULE 13D/A,"Core Scientific, Inc.",21874A106,10/10/2025,Purchase,500000,18.8116,0000935836-25-000638/ex99290days.htm
0000935836-25-000638,SCHEDULE 13D/A,"Core Scientific, Inc.",21874A106,10/10/2025,Purchase,229177,18.5684,0000935836-25-000638/ex99290days.htm
0000935836-25-000638,SCHEDULE 13D/A,"Core Scientific, Inc.",21874A106,10/10/2025,Purchase,103868,18.9643,0000935836-25-000638/ex99290days.htm
0000935836-25-000638,SCHEDULE 13D/A,"Core Scientific, Inc.",21874A106,10/10/2025,Purchase,1000000,18.4671,0000935836-25-000638/ex99290days.htm
0000935836-25-000638,SCHEDULE 13D/A,"Core Scientific, Inc.",21874A106,10/14/2025,Purchase,2306152,19.0684,0000935836-25-000638/ex99290days.htm
