period,issuer_norm,issuer_raw,cusips_common,common_shares,common_value_usd,had_option_prior,classification
2025-03-31,APPLIED DIGITAL,Applied Digital Corp,038169207,4035600,22680072,False,NEW_ALL
2025-03-31,ONTO INNOVATION,Onto Innovation Inc,683344105,586717,71192241,False,NEW_ALL
2025-03-31,EQT,EQT Corp,26884L109,989398,52863535,False,NEW_ALL
2025-03-31,CORE SCIENTIFIC,Core Scientific Inc New,21874A106,4521578,32736225,False,NEW_ALL
2025-03-31,BROADCOM,Broadcom Inc,11135F101,700000,117201000,False,NEW_ALL
2025-03-31,COREWEAVE,CoreWeave Inc,21873S108,1225000,45423000,False,NEW_ALL
2025-03-31,IREN,IREN Limited,Q4982L109,3366130,20499732,False,NEW_ALL
2025-09-30,BITDEER,BITDEER TECHNOLOGIES GROUP,G11448100,929600,15886864,False,NEW_ALL
2025-09-30,LUMENTUM,LUMENTUM HLDGS INC,55024UAD1,417600,67947696,False,NEW_ALL
2025-09-30,SOLARIS ENERGY INFRAS,SOLARIS ENERGY INFRAS INC,83418M103,1150300,45977491,False,NEW_ALL
2025-09-30,SANDISK,SANDISK CORP,80004C200,115000,12903000,False,NEW_ALL
2025-09-30,COHERENT,COHERENT CORP,19247G107,154400,16631968,False,NEW_ALL
2025-09-30,RIOT PLATFORMS,RIOT PLATFORMS INC,767292105,3592699,68369062,False,NEW_ALL
2025-09-30,BLOOM ENERGY,BLOOM ENERGY CORP,093712AH0,3048002,43890344,False,NEW_ALL
2025-09-30,CIPHER MINING,CIPHER MINING INC,17253JAA4,5740493,72272807,False,NEW_ALL
2025-09-30,SEAGATE TECHNOLOGY HLDNGS,SEAGATE TECHNOLOGY HLDNGS PL,G7997R103,48567,11464726,False,NEW_ALL
2025-09-30,WESTERN DIGITAL,WESTERN DIGITAL CORP,958102AT2,152821,18347689,False,NEW_ALL
2025-09-30,GALAXY DIGITAL,GALAXY DIGITAL INC.,36317J209,2737500,92554875,False,NEW_ALL
2025-09-30,COREWEAVE,COREWEAVE INC,21873S108,4115456,563200154,False,NEW_ALL
2025-09-30,HUT 8,HUT 8 CORP,44812J104,599000,20851190,False,NEW_ALL
2025-09-30,TOWER SEMICONDUCTOR,TOWER SEMICONDUCTOR LTD,M87915274,470600,34024380,False,NEW_ALL
2025-12-31,BABCOCK AND WILCOX,BABCOCK & WILCOX ENTERPRISES,05614L209,1353900,8583726,False,NEW_ALL
2025-12-31,CLEANSPARK,CLEANSPARK INC,18452B209,1640400,16600848,False,NEW_ALL
2025-12-31,BITFARMS,BITFARMS LTD,09173B107,6897100,16208185,False,NEW_ALL
2025-12-31,WHITEFIBER,WHITEFIBER INC,G96115103,1757600,27770080,False,NEW_ALL
2025-12-31,POWER SOLUTIONS INTL,POWER SOLUTIONS INTL INC,73933G202,432300,24701622,False,NEW_ALL
2025-12-31,KILROY RLTY,KILROY RLTY CORP,49427F108,1327700,49616149,False,NEW_ALL
2025-12-31,PROPETRO,PROPETRO HLDG CORP,74347M108,910300,8656953,False,NEW_ALL
2025-12-31,INTEL,INTEL CORP,458140100,1,37,True,NEW_COMMON
2025-12-31,LIBERTY ENERGY,LIBERTY ENERGY INC,53115L104,567200,10470512,False,NEW_ALL
