filing_period,event_date,issuer,ticker,common_value_usd,had_option_prior,same_day_open_close,d1_close_close,d1_vwap_close,wide_5d,placebo_t-2_t-1,d1_close_close_minus_SPY,d1_vwap_close_minus_SPY,d1_close_close_minus_SMH,d1_vwap_close_minus_SMH,d1_close_close_minus_QQQ,d1_vwap_close_minus_QQQ
2025-03-31,2025-05-14,APPLIED DIGITAL CORP,APLD,22680072,False,0.03639515404526095,-0.06521736876951056,-0.06010928129337001,0.2085561583687512,0.05649721166999244,-0.07010171837725743,-0.06518183911115016,-0.061749484615706396,-0.057928972428731074,-0.06631632637780038,-0.06328253870726963
2025-03-31,2025-05-14,ONTO INNOVATION INC,ONTO,71192241,False,0.03562190876671334,-0.05803229063477178,-0.038375699443797484,-0.046073188651485464,0.060969137960004804,-0.06291664024251864,-0.04344825726157764,-0.05456440648096761,-0.03619539057915855,-0.059131248243061596,-0.041548956857697106
2025-03-31,2025-05-14,EQT CORP,EQT,52863535,False,0.01257637019149227,-0.0063875196318831096,-0.00013390518886013947,-0.008718890957558956,0.03138188716827317,-0.011271869239629972,-0.005206463006640294,-0.0029196354780789413,0.0020464036757787962,-0.0074864772401729285,-0.003307162602759761
2025-03-31,2025-05-14,CORE SCIENTIFIC INC NEW,CORZ,32736225,False,-0.003861000306814355,0.01841090500738174,0.013867158512542277,0.052734372453414835,0.03643721179224069,0.013526555399634876,0.008794600694762122,0.021878789161185908,0.016047467377181213,0.01731194739909192,0.010693901098642655
2025-03-31,2025-05-14,BROADCOM INC,AVGO,117201000,False,0.008209179623514862,0.002240239028948876,0.006881628036520926,-0.01157388547714766,0.04892136586475737,-0.002644110578797987,0.0018090702187407715,0.005708123182753044,0.009061936901159862,0.0011412814206590571,0.0037083706226213042
2025-03-31,2025-05-14,COREWEAVE INC,CRWV,45423000,False,0.022121198249585694,-0.025051919127512146,-0.010828743127241136,0.6975972532249299,0.08155234238645082,-0.02993626873525901,-0.01590130094502129,-0.021584034973707977,-0.0086484342626022,-0.026150876735801964,-0.014002000541140758
2025-03-31,2025-05-14,IREN LIMITED,IREN,20499732,False,-0.03100310996368738,-0.027603487576297714,-0.041494032753472854,0.0948276439182063,0.08122498509804554,-0.03248783718404458,-0.04656659057125301,-0.024135603422493546,-0.03931372388883392,-0.028702445184587533,-0.044667290167372475
2025-09-30,2025-11-14,BITDEER TECHNOLOGIES GROUP,BTDR,15886864,False,0.0028599320591129462,0.010456240674026507,-0.0004701340880886029,-0.0738073555503117,-0.20301291312006187,0.019772701962941674,0.004596697976012809,0.02402231129933252,0.0007625890459498352,0.018996812122532347,0.001303393539307529
2025-09-30,2025-11-14,LUMENTUM HLDGS INC,LITE,67947696,False,0.07716216265010734,0.04273105185674786,0.0755798713549034,0.12664196266526906,-0.10618177852517652,0.05204751314566303,0.08064670341900482,0.056297122482053874,0.07681259448894184,0.0512716233052537,0.07735339898229954
2025-09-30,2025-11-14,SOLARIS ENERGY INFRAS INC,SEI,45977491,False,0.052129341404121066,0.01150189047321315,0.038167930337234424,-0.04695142100872851,-0.04969342870210758,0.020818351762128318,0.043234762401335836,0.025067961098519165,0.03940065347127286,0.02004246192171899,0.039941457964630556
2025-09-30,2025-11-14,SANDISK CORP,SNDK,12903000,False,0.07694916805978558,0.046112689061352796,0.0681139558811994,-0.17777231083349554,-0.1396326313212537,0.055429150350267964,0.07318078794530081,0.05967875968665881,0.06934667901523783,0.05465326050985864,0.06988748350859553
2025-09-30,2025-11-14,COHERENT CORP,COHR,16631968,False,0.0369130527208954,-0.0018660339009483051,0.007333961575195058,-0.003286466456064785,-0.1065934585014402,0.0074504273879668625,0.01240079363929647,0.01170003672435771,0.008566684709233496,0.006674537547557535,0.00910748920259119
2025-09-30,2025-11-14,RIOT PLATFORMS INC,RIOT,68369062,False,0.05601815056633175,-0.005017899339161747,0.019725973563256893,-0.08429395292847752,-0.10219921861626546,0.004298561949753421,0.024792805627358305,0.008548171286144268,0.02095869669729533,0.003522672109344094,0.021499501190653025
2025-09-30,2025-11-14,BLOOM ENERGY CORP,BE,43890344,False,0.16697958484411335,-0.042720518414258724,0.01939380033299365,-0.13095127753120905,-0.1828440494456045,-0.033404057125343556,0.02446063239709506,-0.02915444778895271,0.020626523467032087,-0.03417994696575288,0.02116732796038978
2025-09-30,2025-11-14,CIPHER MINING INC,CIFR,72272807,False,0.030129131200619108,-0.0006963283737175807,-0.0036451680619651317,-0.05224384934373416,-0.14096656926896856,0.008620132915197587,0.0014216640021362803,0.012869742251588434,-0.0024124449279266935,0.00784424307478826,-0.0018716404345689996
2025-09-30,2025-11-14,SEAGATE TECHNOLOGY HLDNGS PL,STX,11464726,False,0.015974808798332685,0.01227688134711813,0.013827784041033908,-0.09548290790121217,-0.07307777834279838,0.021593342636033297,0.01889461610513532,0.025842951972424144,0.015060507175072346,0.02081745279562397,0.01560131166843004
2025-09-30,2025-11-14,WESTERN DIGITAL CORP,WDC,18347689,False,0.048147163712577434,0.029271970243863077,0.047777205784714116,-0.1143420768768767,-0.053879940493386846,0.038588431532778245,0.05284403784881553,0.04283804086916909,0.049009928918752554,0.03781254169236892,0.04955073341211025
2025-09-30,2025-11-14,GALAXY DIGITAL INC.,GLXY,92554875,False,0.04814966304138846,-0.04935456452276532,-0.041439335041568603,-0.1402349385800825,-0.12887753846018712,-0.04003810323385015,-0.03637250297746719,-0.035788493897459306,-0.040206611907530165,-0.04081399307425948,-0.03966580741417247
2025-09-30,2025-11-14,COREWEAVE INC,CRWV,563200154,False,0.019974940540114172,-0.02624093540952277,-0.018101809126782054,-0.08539692525841969,-0.08299196935453612,-0.016924474120607602,-0.013034977062680642,-0.012674864784216755,-0.016869085992743615,-0.01770036396101693,-0.01632828149938592
2025-09-30,2025-11-14,HUT 8 CORP,HUT,20851190,False,0.09614236766821138,0.020573962222103503,0.04765875013197984,-0.046640763015694975,-0.13683199489837938,0.02989042351101867,0.052725582196081255,0.03414003284740952,0.04889147326601828,0.029114533670609344,0.049432277759375975
2025-09-30,2025-11-14,TOWER SEMICONDUCTOR LTD,TSEM,34024380,False,0.04572275654241498,-0.0391899990522826,-0.020162820249678526,-0.05489953590735519,-0.068878048836442,-0.02987353776336743,-0.015095988185577114,-0.025623928426976583,-0.018930097115640088,-0.030649427603776758,-0.018389292622282394
2025-12-31,2026-02-11,BABCOCK & WILCOX ENTERPRISES,BW,8583726,False,-0.03900003433227539,0.0010406065805514952,-0.018617688326481252,-0.03909466090550584,0.02100838231599389,0.0164894794951036,-0.0007453052917761882,0.021943286201676737,-0.0013043263157880292,0.02137948704418413,0.0026231775039637917
2025-12-31,2026-02-11,CLEANSPARK INC,CLSK,16600848,False,-0.04373762581556451,-0.03222447709253451,-0.049757561342623546,-0.02093719279539441,-0.015701653974561913,-0.016775604177982406,-0.03188517830791848,-0.011321797471409267,-0.03244419933193032,-0.011885596628901873,-0.028516695512178503
2025-12-31,2026-02-11,BITFARMS LTD,BITF,16208185,False,-0.026905803706885,-0.04608301361073386,-0.05587232029886002,-0.05454550971669481,-0.026548647359614486,-0.030634140696181755,-0.03799993726415496,-0.025180333989608616,-0.0385589582881668,-0.025744133147101222,-0.03463145446841498
2025-12-31,2026-02-11,WHITEFIBER INC,WYFI,27770080,False,-0.02894054030503579,-0.03193189740474722,-0.04514433848118882,-0.07708224402478392,-0.026196496109345158,-0.01648302449019512,-0.027271955446483753,-0.01102921778362198,-0.027830976470495594,-0.011593016941114587,-0.023903472650743773
2025-12-31,2026-02-11,POWER SOLUTIONS INTL INC,PSIX,24701622,False,0.002100843890460391,0.07989751411118085,0.08584145548012834,0.015086233080387368,-0.03366890722936988,0.09534638702573295,0.1037138385148334,0.10080019373230609,0.10315481749082156,0.10023639457481348,0.10708232131057338
2025-12-31,2026-02-11,KILROY RLTY CORP,KRC,49616149,False,-0.039355982671220646,-0.059280002557338896,-0.08144561847109921,-0.022857092376938448,-0.037348027832489916,-0.04383112964278679,-0.06357323543639415,-0.038377322936213654,-0.06413225646040599,-0.03894112209370626,-0.06020475264065417
2025-12-31,2026-02-11,PROPETRO HLDG CORP,PUMP,8656953,False,0.025595760265298306,-0.030120432981275425,-0.020212962251701105,0.032315946641153115,-0.036332185211795265,-0.014671560066723321,-0.0023405792169960415,-0.009217753360150183,-0.0028996002410078825,-0.009781552517642789,0.0010279035787439383
2025-12-31,2026-02-11,LIBERTY ENERGY INC,LBRT,10470512,False,-0.014107230512043545,0.012673809684964565,0.001253126310560182,0.1111569645414443,-0.0385379145973096,0.02812268259951667,0.019125509345265246,0.03357648930608981,0.018566488321253405,0.0330126901485972,0.022493992141005226
